WellID,PointID,OBJECTID,DepthToWater,DepthToWaterBGS,LevelStatus,DataQuality,MPHeight,MeasurementMethod,MeasuredBy,DataSource,MeasuringAgency,SiteNotes,LevelStatement,GlobalID,SSMA_TimeStamp,PublicRelease,Geometry,DateMeasured,TimeMeasured,TimeDatum
1EC22732-D979-411B-8ACB-A8283669F667,SB-0289,420434,87.67,87.67,,,0,S,USGS,A,USGS,,,BC9E7E09-CDA1-4697-8001-7F18DB204921,0x000000000009020C,true,,1967-01-30,,
1EC22732-D979-411B-8ACB-A8283669F667,SB-0289,420429,83.71,83.71,,,0,S,USGS,A,USGS,,,1EA0B771-AFCA-4B2C-8186-95DD4B9625AB,0x0000000000098EAF,true,,1961-02-06,,
1EC22732-D979-411B-8ACB-A8283669F667,SB-0289,420425,72.68,72.68,,,0,S,USGS,A,USGS,,,4BC4429D-8338-47D2-A2DD-58834684E0BE,0x0000000000080EF6,true,,1955-01-21,,
1EC22732-D979-411B-8ACB-A8283669F667,SB-0289,420426,78.45,78.45,,,0,S,USGS,A,USGS,,,9DCD826A-8F8A-485B-8419-0DB0FFB31E2D,0x0000000000063C79,true,,1957-01-26,,
1EC22732-D979-411B-8ACB-A8283669F667,SB-0289,420435,91.1,91.1,,,0,S,USGS,A,USGS,,,D391BB1A-8DE8-4637-8BD2-02A9EA1E5E4D,0x000000000005F7F9,true,,1968-01-22,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,423951,124.34,124.34,,,0,F,TWDB,A,TWDB,,,03B52BC1-B9C3-4B18-9136-338110399817,0x00000000000727C9,true,,1999-04-15,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,425226,145.4,145.4,,,0,F,TWDB,A,TWDB,,,15300F69-C7F7-4273-8831-338659AF80DB,0x00000000000727DE,true,,2018-04-15,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424660,133.18,133.18,,,0,F,TWDB,A,TWDB,,,1058499E-364B-4CC6-BE5C-335B43A65645,0x00000000000726CC,true,,2009-12-30,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424742,137.3,137.3,,,0,F,TWDB,A,TWDB,,,A2875561-0F57-4C0B-A952-3468E55855A9,0x0000000000072D6C,true,,2011-04-15,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424070,126.39,126.39,,,0,F,TWDB,A,TWDB,,,18C9C5C5-89D2-4AE3-97AB-34AB210B04C5,0x0000000000072EEB,true,,2000-12-05,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,425250,157.79,157.79,,,0,F,TWDB,A,TWDB,,,44B905F8-370F-49BA-B7A7-35B3792F5820,0x0000000000073513,true,,2018-08-15,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,425069,142.6,142.6,,,0,F,TWDB,A,TWDB,,,55C64DD1-BFF3-4FC0-A9C3-3375C4B316C5,0x0000000000072782,true,,2015-11-20,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,422176,109.47,109.47,,,0,F,TWDB,A,TWDB,,,20B9C34E-B672-4B62-A3B5-34CF1CFF809D,0x0000000000072FB2,true,,1968-04-10,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,423121,130.32,130.32,,,0,F,TWDB,A,TWDB,,,BE546A60-CB36-423F-97CA-34C5E9CA7CE9,0x0000000000072F85,true,,1981-11-05,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424230,149,149,,,0,F,TWDB,A,TWDB,,,B19FC83F-A3C7-4AE5-A253-3530A7772C88,0x0000000000073201,true,,2003-09-30,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424369,144.34,144.34,,,0,F,TWDB,A,TWDB,,,95017963-17B3-4A3A-9F05-34DCFFC668B2,0x0000000000072FFC,true,,2005-09-25,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,425285,139.86,139.86,,,0,F,TWDB,A,TWDB,,,A0BCA24D-552C-4549-9368-34EBF68157A1,0x000000000007305A,true,,2019-02-10,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,423066,121.38,121.38,,,0,F,TWDB,A,TWDB,,,1B9F4ED6-6A08-412A-B023-3550D854DCCE,0x00000000000732BD,true,,1981-03-15,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,422051,116.01,116.01,,,0,F,TWDB,A,TWDB,,,55729ABC-BD2F-401D-82CE-3549BC39666D,0x0000000000073297,true,,1966-07-25,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,422820,138.51,138.51,,,0,F,TWDB,A,TWDB,,,53718375-8781-454F-990E-36A63F07B59F,0x0000000000073AF2,true,,1977-05-25,,
908C21FE-D816-4AB1-B3E7-719FA1E3A8EB,SB-0299,424464,128.3,128.3,,,0,F,TWDB,A,TWDB,,,48DB8B26-3E1B-4BE6-B382-37FD69E9D226,0x00000000000743A8,true,,2007-01-30,,
