PointID,MeasuringAgency
SM-0007,NMBGMR
SM-0007,OSWCD
SM-0023,
SM-0023,NMBGMR
SM-0023,OSWCD
SM-0026,NMBGMR
SM-0026,OSWCD
SM-0068,NMBGMR
SM-0068,USGS
SM-0235,NMBGMR
SM-0235,USGS
SM-0246,NMBGMR
SM-0246,USGS
SO-0125,NMBGMR
SO-0125,NMISC
SO-0126,NMBGMR
SO-0126,NMISC
SO-0127,NMBGMR
SO-0127,NMISC
SO-0128,NMBGMR
SO-0128,NMISC
SO-0129,NMBGMR
SO-0129,NMISC
SO-0130,NMBGMR
SO-0130,NMISC
SO-0131,NMBGMR
SO-0131,NMISC
SO-0132,NMBGMR
SO-0132,NMISC
SO-0137,NMBGMR
SO-0137,NMISC
SO-0138,NMBGMR
SO-0138,NMISC
SO-0139,NMBGMR
SO-0139,NMISC
SO-0140,NMBGMR
SO-0140,NMISC
SO-0141,NMBGMR
SO-0141,NMISC
SO-0142,NMBGMR
SO-0142,NMISC
SO-0143,NMBGMR
SO-0143,NMISC
SO-0144,NMBGMR
SO-0144,NMISC
SO-0145,NMBGMR
SO-0145,NMISC
SO-0146,NMBGMR
SO-0146,NMISC
SO-0146,NMT
SO-0147,NMBGMR
SO-0147,NMISC
SO-0148,NMBGMR
SO-0148,NMISC
SO-0148,NMT
SO-0149,NMBGMR
SO-0149,NMISC
SO-0152,NMBGMR
SO-0152,NMISC
SO-0153,NMBGMR
SO-0153,NMISC
SO-0154,NMBGMR
SO-0154,NMISC
SO-0155,NMBGMR
SO-0155,NMISC
SO-0156,NMBGMR
SO-0156,NMISC
SO-0157,NMBGMR
SO-0157,NMISC
SO-0158,NMBGMR
SO-0158,NMISC
SO-0159,NMBGMR
SO-0159,NMISC
SO-0160,NMBGMR
SO-0160,NMISC
SO-0161,NMBGMR
SO-0161,NMISC
SO-0162,NMBGMR
SO-0162,NMISC
SO-0163,NMBGMR
SO-0163,NMISC
SO-0164,NMBGMR
SO-0164,NMISC
SO-0165,NMBGMR
SO-0165,NMISC
SO-0166,NMBGMR
SO-0166,NMISC
SO-0167,NMBGMR
SO-0167,NMISC
SO-0167,NMT
SO-0168,NMBGMR
SO-0168,NMISC
SO-0168,NMT
SO-0169,NMBGMR
SO-0169,NMISC
SO-0169,NMT
SO-0170,NMBGMR
SO-0170,NMISC
SO-0171,NMBGMR
SO-0171,NMISC
SO-0172,NMBGMR
SO-0172,NMISC
SO-0173,NMBGMR
SO-0173,NMISC
SO-0174,NMBGMR
SO-0174,NMISC
SO-0175,NMBGMR
SO-0175,NMISC
SO-0176,NMBGMR
SO-0176,NMISC
SO-0177,NMBGMR
SO-0177,NMISC
SO-0178,NMBGMR
SO-0178,NMISC
SO-0179,NMBGMR
SO-0179,NMISC
SO-0180,NMBGMR
SO-0180,NMISC
SO-0181,NMBGMR
SO-0181,NMISC
SO-0182,NMBGMR
SO-0182,NMISC
SO-0183,NMBGMR
SO-0183,NMISC
SO-0184,NMBGMR
SO-0184,NMISC
SO-0185,NMBGMR
SO-0185,NMISC
SO-0186,NMBGMR
SO-0186,NMISC
SO-0187,NMBGMR
SO-0187,NMISC
SO-0188,NMBGMR
SO-0188,NMISC
SO-0189,NMBGMR
