model|input_count|cleaned_count|transferred|issue_percentage
Well|38541|8180|7697|5.9046454767726155
PointID|Table|Field|Error
AR-0140|WellData||measuring_point_height: Input should be a valid number
AR-0157|WellData||measuring_point_height: Input should be a valid number
EB-022|WellData||measuring_point_height: Input should be greater than or equal to 0
EB-443|WellData||measuring_point_height: Input should be greater than or equal to 0
QU-152|WellData||measuring_point_height: Input should be greater than or equal to 0
EB-132|WellData||measuring_point_height: Input should be greater than or equal to 0
TB-0262|WellData||measuring_point_height: Input should be a valid number
AH-091|WellData||measuring_point_height: Input should be a valid number
TO-0561|WellData||measuring_point_height: Input should be a valid number
WL-0165|WellData||measuring_point_height: Input should be a valid number
WL-0237|WellData||measuring_point_height: Input should be greater than or equal to 0
NM-28437|WellData||measuring_point_height: Input should be a valid number
EB-239|WellData||measuring_point_height: Input should be greater than or equal to 0
EB-444|WellData||measuring_point_height: Input should be greater than or equal to 0
AH-093|WellData||measuring_point_height: Input should be a valid number
DA-0198|WellData||measuring_point_height: Input should be a valid number
TO-0558|WellData||measuring_point_height: Input should be a valid number
PP-037|WellData||Value error, well casing depth must be less than or equal to hole depth
AH-103|WellData||measuring_point_height: Input should be a valid number
WL-0084|WellData||measuring_point_height: Input should be a valid number
TO-0506|WellData||measuring_point_height: Input should be a valid number
AR-0155|WellData||measuring_point_height: Input should be a valid number
TV-196|WellData||measuring_point_height: Input should be greater than or equal to 0
TC-418|WellData||measuring_point_height: Input should be a valid number
TC-419|WellData||measuring_point_height: Input should be a valid number
TB-0260|WellData||measuring_point_height: Input should be a valid number
TO-0502|WellData||measuring_point_height: Input should be a valid number
AH-060|WellData||measuring_point_height: Input should be a valid number
BC-0006|WellData||measuring_point_height: Input should be greater than or equal to 0
EB-188|WellData||measuring_point_height: Input should be greater than or equal to 0
AR-0129|WellData||measuring_point_height: Input should be a valid number
BC-0270|WellData||measuring_point_height: Input should be greater than or equal to 0
TO-0522|WellData||measuring_point_height: Input should be a valid number
EB-421|WellData||measuring_point_height: Input should be greater than or equal to 0
AR-0117|WellData||measuring_point_height: Input should be a valid number
WL-0339|WellData||measuring_point_height: Input should be greater than or equal to 0
AH-089|WellData||measuring_point_height: Input should be a valid number
AH-070|WellData||measuring_point_height: Input should be a valid number
TO-0526|WellData||measuring_point_height: Input should be a valid number
AR-0174|WellData||measuring_point_height: Input should be a valid number
PP-034|WellData||measuring_point_height: Input should be a valid number
PP-051|WellData||measuring_point_height: Input should be a valid number
AH-101|WellData||measuring_point_height: Input should be a valid number
SM-0171|WellData||measuring_point_height: Input should be a valid number
AR-0183|WellData||measuring_point_height: Input should be a valid number
EB-080|WellData||measuring_point_height: Input should be greater than or equal to 0
AH-102|WellData||measuring_point_height: Input should be a valid number
TO-0509|WellData||measuring_point_height: Input should be a valid number
TC-414|WellData||measuring_point_height: Input should be a valid number
TC-415|WellData||measuring_point_height: Input should be a valid number
EB-272|WellData||measuring_point_height: Input should be greater than or equal to 0
EB-333|WellData||measuring_point_height: Input should be greater than or equal to 0
AR-0165|WellData||measuring_point_height: Input should be a valid number
TO-0541|WellData||measuring_point_height: Input should be a valid number
QY-0288|WellData||Value error, well casing depth must be less than or equal to hole depth
AR-0194|WellData||measuring_point_height: Input should be a valid number
TO-0519|WellData||measuring_point_height: Input should be a valid number
EB-112|WellData||measuring_point_height: Input should be greater than or equal to 0
AR-0121|WellData||measuring_point_height: Input should be a valid number
TO-0533|WellData||measuring_point_height: Input should be a valid number
QU-016|WellData||measuring_point_height: Input should be greater than or equal to 0
SM-0240|WellData||measuring_point_height: Input should be a valid number
AR-0193|WellData||measuring_point_height: Input should be a valid number
EB-228|WellData||measuring_point_height: Input should be greater than or equal to 0
NM-28449|WellData||measuring_point_height: Input should be a valid number
AR-0189|WellData||measuring_point_height: Input should be a valid number
TO-0520|WellData||measuring_point_height: Input should be a valid number
AR-0154|WellData||measuring_point_height: Input should be a valid number
AR-0196|WellData||measuring_point_height: Input should be a valid number
SA-0019|WellData||Value error, well casing depth must be less than or equal to hole depth
WL-0082|WellData||measuring_point_height: Input should be a valid number
EB-419|WellData||measuring_point_height: Input should be greater than or equal to 0
TO-0560|WellData||measuring_point_height: Input should be a valid number
EB-195|WellData||measuring_point_height: Input should be greater than or equal to 0
EB-469|WellData||measuring_point_height: Input should be greater than or equal to 0
AR-0172|WellData||measuring_point_height: Input should be a valid number
WL-0060|WellData||measuring_point_height: Input should be greater than or equal to 0
SM-0175|WellData||measuring_point_height: Input should be a valid number
EB-237|WellData||measuring_point_height: Input should be greater than or equal to 0
NM-23288|WellData||Value error, well casing depth must be less than or equal to hole depth
TO-0514|WellData||measuring_point_height: Input should be a valid number
TO-0545|WellData||measuring_point_height: Input should be a valid number
WL-0006|WellData||measuring_point_height: Input should be a valid number
EB-109|WellData||measuring_point_height: Input should be greater than or equal to 0
AR-0126|WellData||measuring_point_height: Input should be a valid number
AR-0163|WellData||measuring_point_height: Input should be a valid number
WL-0318|WellData||measuring_point_height: Input should be greater than or equal to 0
SM-0218|WellData||measuring_point_height: Input should be a valid number
SM-0049|WellData||Value error, well casing depth must be less than or equal to hole depth
TO-0504|WellData||measuring_point_height: Input should be a valid number
SO-0275|WellData||Value error, measuring point height must be less than hole depth
PP-001|WellData||measuring_point_height: Input should be a valid number
TO-0549|WellData||measuring_point_height: Input should be a valid number
SM-0140|WellData||measuring_point_height: Input should be a valid number
BC-0019|WellData||measuring_point_height: Input should be greater than or equal to 0
EB-602|WellData||measuring_point_height: Input should be greater than or equal to 0
AH-104|WellData||measuring_point_height: Input should be a valid number
TO-0547|WellData||measuring_point_height: Input should be a valid number
EB-185|WellData||measuring_point_height: Input should be greater than or equal to 0
AH-071|WellData||measuring_point_height: Input should be a valid number
WL-0034|WellData||measuring_point_height: Input should be a valid number
SM-0152|WellData||measuring_point_height: Input should be a valid number
AR-0128|WellData||measuring_point_height: Input should be a valid number
TC-361|WellData||measuring_point_height: Input should be greater than or equal to 0
TO-0507|WellData||measuring_point_height: Input should be a valid number
TB-0264|WellData||measuring_point_height: Input should be a valid number
PP-055|WellData||measuring_point_height: Input should be a valid number
WL-0011|WellData||measuring_point_height: Input should be a valid number
QY-0902|WellData||Value error, well casing depth must be less than or equal to hole depth
EB-433|WellData||measuring_point_height: Input should be greater than or equal to 0
EB-426|WellData||measuring_point_height: Input should be greater than or equal to 0
EB-016|WellData||measuring_point_height: Input should be greater than or equal to 0
BC-0282|WellData||measuring_point_height: Input should be greater than or equal to 0
CP-0007|WellData||measuring_point_height: Input should be a valid number
TO-0521|WellData||measuring_point_height: Input should be a valid number
EB-063|WellData||measuring_point_height: Input should be greater than or equal to 0
CP-0014|WellData||measuring_point_height: Input should be a valid number
CP-0005|WellData||measuring_point_height: Input should be a valid number
EB-225|WellData||measuring_point_height: Input should be greater than or equal to 0
AH-105|WellData||measuring_point_height: Input should be a valid number
EB-417|WellData||measuring_point_height: Input should be greater than or equal to 0
WL-0135|WellData||measuring_point_height: Input should be a valid number
TO-0539|WellData||measuring_point_height: Input should be a valid number
EB-454|WellData||measuring_point_height: Input should be greater than or equal to 0
AH-066|WellData||measuring_point_height: Input should be a valid number
PP-048|WellData||measuring_point_height: Input should be a valid number
AR-0206|WellData||measuring_point_height: Input should be a valid number
AH-107|WellData||measuring_point_height: Input should be a valid number
WL-0113|WellData||measuring_point_height: Input should be greater than or equal to 0
AH-075|WellData||measuring_point_height: Input should be a valid number
TC-311|WellData||measuring_point_height: Input should be a valid number
AR-0130|WellData||measuring_point_height: Input should be a valid number
AH-106|WellData||measuring_point_height: Input should be a valid number
NM-28456|WellData||measuring_point_height: Input should be a valid number
EB-013|WellData||measuring_point_height: Input should be greater than or equal to 0
PP-060|WellData||measuring_point_height: Input should be a valid number
EB-316|WellData||measuring_point_height: Input should be greater than or equal to 0
SA-0009|WellData||measuring_point_height: Input should be greater than or equal to 0
SA-0319|WellData||Value error, well casing depth must be less than or equal to hole depth
WL-0180|WellData||measuring_point_height: Input should be greater than or equal to 0
DA-0201|WellData||measuring_point_height: Input should be a valid number
TO-0512|WellData||measuring_point_height: Input should be a valid number
EB-442|WellData||measuring_point_height: Input should be greater than or equal to 0
AH-077|WellData||measuring_point_height: Input should be a valid number
TO-0537|WellData||measuring_point_height: Input should be a valid number
AH-083|WellData||measuring_point_height: Input should be a valid number
PP-046|WellData||measuring_point_height: Input should be a valid number

WellScreen|3714|2204|2191|0.58983666061706
PointID|Table|Field|Error
EB-029|WellScreens||screen_depth_bottom: Input should be a valid number
WL-0096|WellScreens||Value error, screen_depth_bottom must be greater than screen_depth_top
WL-0358|WellScreens||screen_depth_bottom: Input should be a valid number
WL-0358|WellScreens||screen_depth_top: Input should be a valid number
