NMAquiferTable,MatchField,SamplePtID,WCLab_ID,SamplePointID,AnalysesAgency,StudySample,DataQuality,SampleType,CollectionDate,CollectionMethod,CollectedBy,WaterType,SampleNotes,DataSource,SampleMaterialNotH2O,OBJECTID,LocationId,AddedDaytoDate,AddedMonthDaytoDate,SSMA_TimeStamp,PublicRelease
dbo.Chemistry SampleInfo,DataSource,49C8ECB4-9598-4D3C-8820-56B770A0B52D,,EB-653H,USGS,N,false,PR,2003-04-09 00:00:00.000,G,A,,Precip sample from 10/17/02 to 4/9/03.  USGS WRD. 5.4 Inches precip.,USGS,,777,B8F0E5C9-378E-4FF1-9A59-FAA8393E0813,false,false,0x00000000000259BD,true
dbo.Chemistry SampleInfo,DataSource,6B710936-ED42-4EDD-9B72-584A7B0DEF96,,NM-09173A,USGS,,true,SD,1928-05-21 00:00:00.000,U,A,,,USGS,,7238,22F6350E-243C-44C9-80FE-3161E832E940,false,false,0x0000000000025A01,true
dbo.Chemistry SampleInfo,DataSource,1614ED3F-0457-4F5B-916C-590417DB84E7,,NM-07330K,USGS,,true,SD,1954-12-31 00:00:00.000,U,A,,,USGS,,7204,23221058-C2EE-4886-ADFD-3391A127C310,false,false,0x0000000000025A22,true
dbo.Chemistry SampleInfo,DataSource,C23F3EE8-EC48-48E5-8FCD-5A01AED24D90,,NM-00091A,USGS,,true,SD,1957-05-17 00:00:00.000,U,A,,,USGS,,7174,CB7C58C4-A972-462A-9B27-5E759D4EEF35,false,false,0x0000000000025A52,true
dbo.Chemistry SampleInfo,DataSource,0D664B53-DA0E-435E-947C-5B80556BB790,,NM-09553B,USGS,,true,SD,1995-02-08 00:00:00.000,U,A,,,USGS,,7282,01CB6757-12E7-4B43-B68F-EE1373746F28,false,false,0x0000000000025A9F,true
dbo.Chemistry SampleInfo,DataSource,4875D9C8-335F-41FF-9328-5BCC288C7868,,NM-00417A,USGS,,true,SD,1954-12-24 00:00:00.000,U,A,,,USGS,,7295,251D0EED-43FA-43E5-850C-3F78C72F6604,false,false,0x0000000000025AB3,true
dbo.Chemistry SampleInfo,DataSource,E2927070-9F2D-4ABC-9FE6-5CA1217FCF08,,NM-00262D,USGS,,true,SD,1949-05-23 00:00:00.000,U,A,,,USGS,,7184,8A4FBC86-99E0-47BB-86F5-57AA9853764E,false,false,0x0000000000025AD7,true
dbo.Chemistry SampleInfo,DataSource,F057D50A-921A-4C29-8D6F-5D68B7336551,,NM-28365C,USGS,,true,SD,1991-04-22 00:00:00.000,U,A,,,USGS,,7155,C5ABC0E0-EDEC-8B4D-A300-E8470ECED04F,false,false,0x0000000000025AF2,true
dbo.Chemistry SampleInfo,DataSource,1B30AE7D-7826-4B7C-B6CC-5DA5DA6C8092,,EB-653E,USGS,N,false,PR,2001-10-12 00:00:00.000,G,A,,Precip sample from 4/25/01 to 10/12/01.  USGS WRD. 6.1 inches precip,USGS,,404,B8F0E5C9-378E-4FF1-9A59-FAA8393E0813,false,false,0x0000000000025AFC,true
dbo.Chemistry SampleInfo,DataSource,40979EE7-61AE-4DD4-98BF-611602FB88B1,,NM-07330F,USGS,,true,SD,1953-12-08 00:00:00.000,U,A,,,USGS,,7199,23221058-C2EE-4886-ADFD-3391A127C310,false,false,0x0000000000025B85,true
dbo.Chemistry SampleInfo,DataSource,59310498-B59D-4926-A610-613980DB86FB,,NM-07667A,USGS,,true,SD,1949-02-07 00:00:00.000,U,A,,,USGS,,7229,961CB4F1-5A6A-4A4C-8B36-B3A627064B11,false,false,0x0000000000025B88,true
dbo.Chemistry SampleInfo,DataSource,D24EDA88-E91A-4505-87D8-62A2CCB002D5,,NM-07330B,USGS,,true,SD,1953-07-11 00:00:00.000,U,A,,,USGS,,7195,23221058-C2EE-4886-ADFD-3391A127C310,false,false,0x0000000000025BD5,true
dbo.Chemistry SampleInfo,DataSource,6E1DFA2D-427B-431C-98C7-62B543071BE6,,NM-09553A,USGS,,true,SD,1955-04-30 00:00:00.000,U,A,,,USGS,,7281,01CB6757-12E7-4B43-B68F-EE1373746F28,false,false,0x0000000000025BD6,true
dbo.Chemistry SampleInfo,DataSource,D6A7089E-6245-48F4-AB5C-643FB92E2F59,,NM-07330D,USGS,,true,SD,1953-10-31 00:00:00.000,U,A,,,USGS,,7197,23221058-C2EE-4886-ADFD-3391A127C310,false,false,0x0000000000025C1B,true
dbo.Chemistry SampleInfo,DataSource,A4EFA796-3516-45D9-BFC4-6626733C6E8F,,NM-00391B,USGS,,true,SD,2003-09-22 00:00:00.000,U,A,,,USGS,,7248,5174AA52-BB51-4644-80ED-3680C07274DA,false,false,0x0000000000025C65,true
dbo.Chemistry SampleInfo,DataSource,3D7E7E91-1F0C-413B-9501-6702B866FA20,,NM-28364D,USGS,,true,SD,1991-04-24 00:00:00.000,U,A,,,USGS,,7152,59835AD8-D3E6-6D43-AB63-A000786D6A7E,false,false,0x0000000000025C96,true
dbo.Chemistry SampleInfo,DataSource,B374B4E8-80E3-4C7D-B5BD-6743E39862AF,,NM-09418A,USGS,,true,SD,1954-11-02 00:00:00.000,U,A,,,USGS,,7255,CEE5BF10-AC25-4136-BA6A-465909BD2616,false,false,0x0000000000025CA2,true
dbo.Chemistry SampleInfo,DataSource,1938523C-77A1-4DF6-BBF0-6CD49FE12D23,,NM-28363F,USGS,,true,SD,1991-04-25 00:00:00.000,U,A,,,USGS,,7146,7E94BEE5-26E6-E34C-8A95-C2D8B6A7CE00,false,false,0x0000000000025DB1,true
dbo.Chemistry SampleInfo,DataSource,374BD410-75A9-4B22-9DE9-6D04E7C28EF1,,NM-09594A,USGS,,true,SD,1954-10-09 00:00:00.000,U,A,,,USGS,,7291,34BA1050-E6A3-4C65-8241-9CC660AF40F3,false,false,0x0000000000025DB7,true
dbo.Chemistry SampleInfo,DataSource,635DC445-4E63-4AA0-88CB-6D4A9E8C034C,,NM-28366A,USGS,,true,SD,1991-04-23 00:00:00.000,U,A,,,USGS,,7156,A9B6E78A-24AC-EE49-9125-8BA4AAC9BF18,false,false,0x0000000000025DBC,true
dbo.Chemistry SampleInfo,DataSource,D52F8C78-CA54-4A01-B87A-6E7868279360,,NM-07330O,USGS,,true,SD,1955-04-26 00:00:00.000,U,A,,,USGS,,7208,23221058-C2EE-4886-ADFD-3391A127C310,false,false,0x0000000000025DEB,true
dbo.Chemistry SampleInfo,DataSource,4905B8CB-DD4A-417D-960F-6E7FC037BC2D,,NM-09502D,USGS,,true,SD,1956-10-07 00:00:00.000,U,A,,,USGS,,7266,9F0AAAEB-5C4D-4E1E-9F9B-0A78D3CEE050,false,false,0x0000000000025DEE,true
dbo.Chemistry SampleInfo,DataSource,9C09048A-8B1D-40B6-8795-6FAA65A8F837,,NM-00027B,USGS,,true,SD,1964-06-30 00:00:00.000,U,A,,,USGS,,7162,7AB3D2DB-ADEE-4F4C-81B2-92705BDECE75,false,false,0x0000000000025E31,true
dbo.Chemistry SampleInfo,DataSource,B9192BD8-6A18-4677-A0FD-70EF63E5B64D,,NM-07330I,USGS,,true,SD,1954-07-30 00:00:00.000,U,A,,,USGS,,7202,23221058-C2EE-4886-ADFD-3391A127C310,false,false,0x0000000000025E6A,true
