Old Table Name,Old Column Name,Reason
AllWQ_CrossTab_NDs_Working_bak,Mn,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,NaPlusK,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,AsIII,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,H2S,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Cu,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Ca_Total,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,DO,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Sn_Total,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,TDS,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,CN6,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Fe_Total,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,U235,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,NO3,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Br,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,U,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,NH4,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Sr_Total,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Sr90,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Cd_Total,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Ni_Total,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Sb_Total,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Th,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,HRD,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Mo_Total,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,AsV,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Sb,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Al,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,CFC12,No corresponding sheet (expected 'NMAquifer_{old table name}')
AllWQ_CrossTab_NDs_Working_bak,Arsenic,No corresponding sheet (expected 'NMAquifer_{old table name}')
