model|input_count|cleaned_count|transferred|issue_percentage
Well|38541|8180|8157|0.28117359413202936
WL-0021|OwnersData||"Key (organization)=(Lamy Mutual Domestic Water Assn.) is not present in table ""lexicon_term""."
WL-0022|OwnersData||"Key (organization)=(La Joya CWDA) is not present in table ""lexicon_term""."
WL-0022|OwnersData||"Key (organization)=(La Joya CWDA) is not present in table ""lexicon_term""."
WL-0024|OwnersData||"Key (organization)=(NM Firefighters Training Academy) is not present in table ""lexicon_term""."
WL-0024|OwnersData||"Key (organization)=(NM Firefighters Training Academy) is not present in table ""lexicon_term""."
WL-0025|OwnersData||"Key (organization)=(Cebolleta Land Grant) is not present in table ""lexicon_term""."
WL-0025|OwnersData||"Key (organization)=(Cebolleta Land Grant) is not present in table ""lexicon_term""."
WL-0030|OwnersData||"Key (organization)=(Madrid Water Co-op) is not present in table ""lexicon_term""."
WL-0040|OwnersData||"Key (organization)=(Sun Valley Water and Sanitation) is not present in table ""lexicon_term""."
WL-0057|OwnersData||"Key (organization)=(Bluewater Lake MDWCA) is not present in table ""lexicon_term""."
WL-0057|OwnersData||"Key (organization)=(Bluewater Lake MDWCA) is not present in table ""lexicon_term""."
WL-0058|OwnersData||"Key (organization)=(Bluewater Acres Domestic Water Users Assn.) is not present in table ""lexicon_term""."
WL-0058|OwnersData||"Key (organization)=(Bluewater Acres Domestic Water Users Assn.) is not present in table ""lexicon_term""."
WL-0059|OwnersData||"Key (organization)=(Lybrook Municipal) is not present in table ""lexicon_term""."
